category,date,title,menu,kcal
점심,2017년 11월 06일 월요일,월요일,기장밥 시금치국5.6.13.18 한우사태고추장떡볶음1.5.6.13.16 배추김치9.13.우유2. 과일샐러드1.5.11.12.13.,
점심,2017년 11월 07일 화요일,화요일,수수밥 설렁탕5.6.13.16. 골뱅이쫄면무침5.6.13. 우엉조림5.6.13. 깍두기9.13. 요플레2.우유2. 622.3/21.9/296,622 kcal
점심,2017년 11월 08일 수요일,수요일,야채볶음밥5.6.9.10.13.16 미소국5.6.13. 탄두리닭봉구이2.5.6.12.13.15 오이김치9.13. 골드키위/우유2 543.1/26.5/314.9,
점심,2017년 11월 09일 목요일,목요일,잡곡밥 북어국1.5.6.9.13. 수제소시지채소볶음1.2.5.6.10.13.14.15.16.17.18.배추김치9. 에그타르트(수제)1.2.5.6.사과/우유2.,628 kcal
점심,2017년 11월 10일 금요일,금요일,흑미밥 청국장찌개5.6.9.10.13. 감자부각5. 훈제오리무쌈1.5.13. 오이김치9.13. 우유2.,630 kcal
점심,2017년 11월 13일 월요일,월요일,차수수밥 유부보쌈어묵국1.5.6.10.13.18 연근조림5.6.13. 흰살생선튀김1.2.5.6.13. 깻잎김치13.우유2. 타르타르소스1.5.13.,644 kcal
점심,2017년 11월 14일 화요일,화요일,기장밥 굴미역국5.6.13.18 편육5.6.10.13. 삼색나물(2)5. 보쌈김치9.13. 유과5.13. 우유2.,652 kcal
점심,2017년 11월 15일 수요일,수요일,찰밥5. 시금치모시조개국5.6.13.18 치킨커틀릿1.5.13.15 깍두기9.13. 인도커리와난(빵)1.2.5.6.10.13. 귤우유2.,601 kcal
점심,2017년 11월 16일 목요일,목요일,햇밤밥 콩나물국5.9.13.18 갈치풋호박조림5.6.13. 돌김자반무침5.6.13. 치즈스틱2.5. 총각김치9.13. 우유2,597 kcal
점심,2017년 11월 17일 금요일,금요일,기장밥 감자옹심이만두국1.5.6.9.13.18 돈육오븐고추장구이5.6.10.13. 깍두기9.13. 로메인과쌈장5.6.13. 우유2.,
점심,2017년 11월 20일 월요일,월요일,찰밥2 쇠고기무국5.6.8.13.16.15 순대볶음5.6.10.13. 해물매생이전1.6.9.13.17.18 배추겉절이9.13. 귤/우유2.,
아침,2017년 11월 21일 화요일,화요일,서리태밥5. 근대된장국5.6.9.13. 미역줄기볶음5. 파닭2.5.6.13.15 깍두기9.13. 송편5.13.우유2.,599 kcal
점심,2017년 11월 22일 수요일,수요일,"탕평채1.5.6.13. 김치치즈떡갈비1.2.5.6.9.10.12.13.16 깍두기9.13. 전복죽13.18.17 식혜,사과/ 우유2.",
점심,2017년 11월 23일 목요일,목요일,흑미밥 짬뽕국5.6.9.13. 완자전1.5.6.9.13.18 배추김치9.13. 단호박샐러드1.5.13. 우유2.,563 kcal
점심,2017년 11월 24일 금요일,금요일,차수수밥 우렁이된장국5.6.8.13.18 삼치무조림5.6.13. 배추김치9.13.우유2 옥수수알치즈구이1.2.5.6.12.13.,
점심,2017년 11월 27일 월요일,월요일,차조밥 순두부찌개1.2.5.6.8.9.10.13.17.18.포크커틀릿1.2.5.6.10.12.13. 깍두기9.13 우유2. 양상추샐러드(발사믹)1.5.6.13.,640 kcal
아침,2017년 11월 28일 화요일,화요일,흑미밥 들깨미역국5.6.13.18 알감자조림5.6.13. 낙지볶음5.6.13.16.17.18. 열무김치9.13. 망고/ 우유2,
점심,2017년 11월 29일 수요일,수요일,야채볶음밥5.6.9.10.13.16 미소국5.6.13. 찐핫도그(우리밀)1.2.5.6.10. 깍두기9.13. 케찹12. 사과/우유2.,
점심,2017년 11월 30일 목요일,목요일,차수수밥 굴무국5.6.13.18 포항초무침5.6. 닭조림5.6.8.13.15 단호박김치전1.5.6.9.13. 귤/ 우유2.,634 kcal
점심,2017년 12월 01일 금요일,대현급식,기장밥. 짬뽕국. 김치치즈떡갈비.과일샐러드.배추김치.우유,
